longitude,latitude,title
-73.85236518,42.68996297,1 Crossgates Mall Rd. 12203 Albany USA
-73.81944318,42.70927778,131 Colonie Center 12205 Albany USA
-106.5715605,35.10550898,6600 Menaul NE 87110 Albuquerque USA
-77.04869558,38.80476788,614 King Street 22314 Alexandria USA
-96.66318268,33.13256138,820 West Stacy Road 75013 Allen USA
-84.29696473,34.04812033,1081 North Point Mall 30022 Alpharetta USA
-81.37959298,28.66661228,451 E Altamonte Drive 32701 Altamonte Springs USA
-78.41307158,40.46933937,5580 Goods Lane Suite #0758 Altoona
-78.82244608,42.98893517,730 Alberta Drive 14226 Amherst USA
-149.869478,61.14349208,800 E Dimond Blvd 99515 Anchorage USA
-76.55079248,38.98962517,2140 Annapolis Mall 21401 Annapolis USA
-88.47360948,44.26894197,4301 W Wisconsin Ave 54913 Appleton USA
-118.0537777,34.1347002,400 S Baldwin Ave 91007 Arcadia USA
-97.13204678,32.68085598,3811 South Cooper  Suite 1804 Arlington
-82.52855138,35.58102218,3 South Tunnel Road 28805 Asheville USA
-84.40881872,33.79163219,30363 Atlanta Atlanta USA
-84.47096178,33.88080048,1620 Cumberland Mall 30339 Atlanta USA
-84.34316508,33.92455908,4400 Ashford Dunwoody Road 30346 Atlanta USA
-84.09799578,33.69918948,2929 Turner Hill Road  Suite 2750 Atlanta
-87.62688373,41.88188163,116 North Michigan Avenue  Suite #215 Atlantic City
-122.2458647,47.29807907,1101 SuperMall Way 98001 Auburn USA
-83.30341168,42.70301947,4696 Baldwin Road 48326 Auburn Hills USA
-82.08099378,33.46362228,3450 Wrightsboro Road 30909 Augusta USA
-88.21124248,41.75657837,1276 Fox Valley Center 60504 Aurora USA
-104.7070729,39.6015703,6155 S. Main Street 80016 Aurora USA
-97.72867628,30.40169488,11410 Century Oaks Terrace 78758 Austin USA
-80.14725768,25.95729658,19501 Biscayne Boulevard 33180 Aventura USA
-119.0375104,35.33807298,3001 Ming Ave Suite 540 93304 Bakersfield USA
-76.46929708,39.37457377,8200 Perry Hall Blvd  Suite 1325 Baltimore
-91.09012708,30.38963898,6401 Bluebonnet Blvd. 70836 Baton Rouge  LA
-66.16527734,18.40677969,725 West Main Avenue 00961 Bayamon USA
-81.54145189,41.47550964,44122 Beachwood Beachwood USA
-94.16388638,30.12405148,6155 Eastex Fwy #200 77706 Beaumont USA
-97.94530388,30.30972198,12912 Hill Country Boulevard  Suite D2-145 Bee Cave
-122.4923081,48.7858027,1 Bellis Fair Parkway 98226 Bellingham USA
-108.5818098,45.76540177,300 south 24th Street W 59102 Billings USA
-100.7875923,46.79732122,706 Kirkwood Mall  Building F Bismarck
-86.49663148,39.16177527,2894 E 3rd Street 47401 Bloomington USA
-93.24446608,44.85565053,118 Central Parkway 55425 Bloomington  MN
